name,max_spillage,min_spillage,max_turbining,min_turbining,min_outflow,max_outflow,max_reservoir,min_reservoir,min_reservoir_ope,turbines_to,spills_to,generation_coef,area,,,,,,
fontes_a,99999,0,17,11,0,99999,467,467,0,pereira_passos,nothing,2.5295,1,,,,,,
fontes_bc,99999,0,34,0,0,99999,38,38,0,pereira_passos,pereira_passos,2.5295,0,,,,,,
funil,99999,0,387,70,70,99999,888,283,0.3,sta_cecilia,sta_cecilia,0.53034,-1,,,,,,
ilha_dos_pombos,99999,0,724,0,0,99999,8,8,0,nothing,nothing,0.28745,4,,,,,,
jaguari,99999,0,64,4,4,99999,1236,443,0.2,funil,funil,0.48576,-1,,,,,,
lajes,99999,0,51,5.5,5.5,51,445.35,0.01,0.19,fontes_a,fontes_bc,0,-1,,,,,,
nilo_pecanha,99999,0,144,0,0,99999,0,0,0,pereira_passos,pereira_passos,2.63305,1,,,,,,
paraibuna,99999,0,127,10,10,99999,4732,2096,0.05,sta_branca,sta_branca,0.67581,-1,,,,,,
pereira_passos,99999,0,318,120,120,99999,17,17,0,nothing,nothing,0.31396,1.1,,,,,,
picada,99999,0,44,0,0,99999,7,6,0,sobragi,sobragi,1.16066,-1,,,,,,
santana,99999,0,190,0,0,99999,12,12,0,vigario,simplicio,-0.446,0,,,,,,
simplicio,99999,90,309,0,0,99999,126.5,126.5,0,ilha_dos_pombos,ilha_dos_pombos,0.93336,11.36,,,,,,
sobragi,99999,0,90,0,0,99999,1,1,0,simplicio,simplicio,0.71654,0.11,,,,,,
sta_branca,99999,0,144,30,30,99999,439,131,0.1,funil,funil,0.33046,-1,,,,,,
sta_cecilia,90,71,160,119,0,99999,6,6,0,santana,simplicio,-0.191,0,,,,,,
tocos,99999,0,25,0,0,99999,2,2,0,santana,lajes,0,0,,,,,,
vigario,70,0,144,0,0,99999,38,38,0,fontes_bc,nilo_pecanha,0,0,,,,,,
