name,max_spillage,min_spillage,max_turbining,min_turbining,min_outflow,max_outflow,max_reservoir,min_reservoir,min_reservoir_ope (%vol útil),turbines_to,spills_to,generation_coef
fontes_a,99999,0,17,11,0,99999,467,467,0%,pereira_passos,,2.5295
fontes_bc,99999,0,34,0,0,99999,38,38,0%,pereira_passos,lajes,2.5295
funil,99999,0,387,0,70,99999,888,283,30%,sta_cecilia,,0.53034
ilha_dos_pombos,99999,0,724,0,0,99999,8,8,0%,,,0.28745
jaguari,99999,0,64,0,4,99999,1236,443,20%,funil,,0.48576
lajes,99999,0,99999,0,5.5,51,0.01,445.35,19%,fontes_a,fontes_bc,0
nilo_pecanha,99999,0,144,0,0,99999,0,0,0%,pereira_passos,,2.63305
paraibuna,99999,0,127,0,10,99999,4732,2096,5%,sta_branca,,0.67581
pareira_passos,99999,0,318,0,120,99999,17,17,0%,,,0.31396
picada,99999,0,44,0,0,99999,7,6,0%,sobragi,,1.16066
santana,99999,0,190,0,0,99999,12,12,0%,vigario,simplicio,-0.446
simplicio,99999,90,309,0,0,99999,126.5,126.5,0%,ilha_dos_pombos,,0.93336
sobragi,99999,0,90,0,0,99999,1,1,0%,simplicio,,0.71654
sta_branca,99999,0,144,0,30,99999,439,131,10%,funil,,0.33046
sta_cecilia,90,71,160,119,0,99999,6,6,0%,santana,simplicio,-0.191
tocos,99999,0,25,0,0,99999,2,2,0%,santana,lajes,0
vigario,70,0,99999,0,0,99999,38,38,0%,fontes_bc,nilo_pecanha,0
